year,Infant,Children,Youth,Adult,Elderly,Sum Prediction,Total_Populations,Province,DependencyRatio
2034,2326.708338727396,39124.35614324376,10788.998286937254,241515.3155306661,119936.68553222565,413692.06383180013,428308.10198807373,พะเยา,0.6396551353888771
2035,1804.8262628077428,38372.36590207133,7695.632286930442,238355.1889147361,123742.26679071679,409970.2801572624,425527.2878059211,พะเยา,0.6662016332847158
2036,1282.9441868880895,37620.37566089891,4602.26628692363,235195.06229880606,127547.84804920794,406248.4964827246,422746.47362376854,พะเยา,0.6941327031401318
2037,761.0621109684362,36868.385419726495,1508.900286916818,232034.93568287606,131353.4293076991,402526.7128081869,419965.6594416159,พะเยา,0.7235595670367027
2038,239.18003504878288,36116.39517855407,0.0,228874.80906694604,135159.01056619023,398804.9291336491,417184.8452594633,พะเยา,0.7493816662436842
2039,0.0,35364.40493738165,0.0,225714.68245101604,138964.59182468138,395083.14545911143,414404.0310773107,พะเยา,0.7723422989990711
2040,0.0,34612.414696209235,0.0,222554.55583508604,142770.17308317253,391361.36178457364,411623.21689515805,พะเยา,0.7970296861090684
2041,0.0,33860.42445503682,0.0,219394.42921915604,146575.75434166365,387639.57811003586,408842.40271300543,พะเยา,0.822428260548313
2042,0.0,33108.4342138644,0.0,216234.302603226,150381.3356001548,383917.79443549813,406061.5885308528,พะเยา,0.8485692029664201
2043,0.0,32356.443972691974,0.0,213074.175987296,154186.91685864594,380196.0107609604,403280.7743487002,พะเยา,0.8754855437876249
2044,0.0,31604.453731519556,0.0,209914.04937136598,157992.4981171371,376474.2270864226,400499.96016654756,พะเยา,0.9032123024468663
2045,0.0,30852.463490347134,0.0,206753.92275543598,161798.07937562824,372752.4434118849,397719.14598439494,พะเยา,0.9317866393947788
2046,0.0,30100.473249174713,0.0,203593.79613950598,165603.66063411938,369030.65973734716,394938.3318022423,พะเยา,0.9612480222589604
2047,0.0,29348.483008002295,0.0,200433.66952357598,169409.2418926105,365308.8760628094,392157.51762008975,พะเยา,0.9916384077238776
2048,0.0,28596.492766829873,0.0,197273.54290764595,173214.82315110165,361587.0923882716,389376.70343793713,พะเยา,1.0230024408919849
2049,0.0,27844.502525657455,0.0,194113.41629171593,177020.4044095928,357865.30871373386,386595.8892557845,พะเยา,1.0553876741181911
2050,0.0,27092.512284485034,0.0,190953.28967578593,180825.98566808394,354143.52503919613,383815.0750736319,พะเยา,1.088844807573558
